Category,Item Description,Unit,Quantity,Unit Cost,Total Cost
FOUNDATION SYSTEM,Helical Piers 2-7/8" w/8-10" Helix,EA,12,350,4200
FOUNDATION SYSTEM,W8x24 Main Beams,LF,159,12,1908
FOUNDATION SYSTEM,W6x16 Cross Beams,LF,66,10,660
FOUNDATION SYSTEM,Pier Caps,EA,12,45,540
FOUNDATION SYSTEM,Connection Plates,EA,24,8,192
FOUNDATION SYSTEM,Hardware Kit,SET,1,500,500
FLOOR SYSTEM,PT Floor Joists 2x8,LF,720,2.50,1800
FLOOR SYSTEM,AdvanTech 3/4" Subfloor,SF,627,2.20,1379
FLOOR SYSTEM,Joist Hangers,EA,140,1.25,175
FLOOR SYSTEM,Strong-Tie Hardware,SET,1,486,486
FLOOR SYSTEM,R-30 Floor Insulation,SF,627,1.60,1003
FLOOR SYSTEM,6mil Vapor Barrier,SF,700,0.35,245
FLOOR SYSTEM,Fiber Cement Skirting,SF,220,2.50,550
FLOOR SYSTEM,Skirting Vents/Access,SET,1,200,200
PLUMBING,PEX Manifold System,EA,2,342.50,685
PLUMBING,Quick-Connect Fittings,SET,2,471.50,943
PLUMBING,Water Heaters (40gal),EA,2,600,1200
PLUMBING,Fixture Rough-ins,SET,2,427,854
PLUMBING,External Hookup Stations,SET,2,425,850
ELECTRICAL,Load Centers 100A,EA,2,425,850
ELECTRICAL,Quick-Connect Panel,EA,2,375,750
ELECTRICAL,Wiring/Conduit Package,SET,2,600,1200
ELECTRICAL,Devices & Fixtures,SET,2,450,900
ELECTRICAL,Solar Ready Package,SET,2,250,500
HVAC,Mini-Split Systems,EA,2,850,1700
HVAC,Ventilation Package,SET,2,300,600
STRUCTURAL FRAME,Steel Wall Panels,SF,1272,3.50,4452
STRUCTURAL FRAME,Steel Roof System,SF,627,4.20,2633
STRUCTURAL FRAME,Connection Hardware,SET,1,1155,1155
STRUCTURAL FRAME,SIPs Wall Panels,SF,1272,2.50,3180
STRUCTURAL FRAME,SIPs Roof Panels,SF,627,3.50,2194
STRUCTURAL FRAME,Tapes/Sealants,SET,1,426,426
INTERIOR FINISHES,LVP Flooring,SF,527,3.50,1844
INTERIOR FINISHES,Ceramic Tile,SF,100,8.50,850
INTERIOR FINISHES,Floor Underlayment,SF,627,0.69,433
INTERIOR FINISHES,Drywall 5/8",SF,2544,0.65,1654
INTERIOR FINISHES,Wall Insulation,SF,1272,0.85,1081
INTERIOR FINISHES,Paint Package,SET,1,670,670
INTERIOR FINISHES,Ceiling Package,SET,1,1500,1500
KITCHEN,Electric Range,EA,2,650,1300
KITCHEN,Range Hood,EA,2,200,400
KITCHEN,Refrigerator,EA,2,800,1600
KITCHEN,Dishwasher,EA,2,450,900
KITCHEN,Microwave,EA,2,250,500
KITCHEN,Sink/Faucet,EA,2,300,600
KITCHEN,Cabinet Set,SET,2,800,1600
KITCHEN,Countertops,LF,24,26,624
BATHROOMS,Tub/Shower Combo,EA,2,700,1400
BATHROOMS,Toilet,EA,2,250,500
BATHROOMS,Vanity w/Sink,EA,2,400,800
BATHROOMS,Fixtures Package,SET,2,458,916
BATHROOMS,Tile Package,SET,2,400,800
BATHROOMS,Bath Accessories,SET,2,300,600
DOORS & WINDOWS,Entry Doors,EA,2,350,700
DOORS & WINDOWS,Interior Doors,EA,6,98,588
DOORS & WINDOWS,Door Hardware,SET,8,27.50,220
DOORS & WINDOWS,Vinyl Windows,EA,6,150,900
DOORS & WINDOWS,Window Screens,EA,6,16.67,100
OTHER/CONTINGENCY,Permits,SET,1,800,800
OTHER/CONTINGENCY,Site Preparation,SET,1,500,500
OTHER/CONTINGENCY,Cleanup,SET,1,400,400
OTHER/CONTINGENCY,Insurance,SET,1,408,408
OTHER/CONTINGENCY,Project Management,SET,1,400,400 